Categorie,SUpabase_key,Category_Image
Kleding & Mode,FASHION,https://hruleghaabwolyrkzzoc.supabase.co/storage/v1/object/public/Content_general/Category_image_FASHION.png
Fietsen & E-bikes,BIKES,https://hruleghaabwolyrkzzoc.supabase.co/storage/v1/object/public/Content_general/Category_image_BIKES.png
Schoenen & Footwear,SHOES,https://hruleghaabwolyrkzzoc.supabase.co/storage/v1/object/public/Content_general/Category_image_SHOES.png
Motoren & Scooters,MOTORS,https://hruleghaabwolyrkzzoc.supabase.co/storage/v1/object/public/Content_general/Category_image_MOTORS.png
Brillen & Zonnebrillen,GLASSES,https://hruleghaabwolyrkzzoc.supabase.co/storage/v1/object/public/Content_general/Category_image_GLASSES.png
Sieraden & Accessoires,JEWELRY,https://hruleghaabwolyrkzzoc.supabase.co/storage/v1/object/public/Content_general/Category_image_JEWELRY.png
Horloges,WATCHES,https://hruleghaabwolyrkzzoc.supabase.co/storage/v1/object/public/Content_general/Category_image_WATCHES.png
Automotive,AUTOMOTIVE,https://hruleghaabwolyrkzzoc.supabase.co/storage/v1/object/public/Content_general/Category_image_AUTOMOTIVE.png
Meubels & Interieur,FURNITURE,https://hruleghaabwolyrkzzoc.supabase.co/storage/v1/object/public/Content_general/Category_image_FURNITURE.png
Tassen & Bagage,BAGS,https://hruleghaabwolyrkzzoc.supabase.co/storage/v1/object/public/Content_general/Category_image_BAGS.png